id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,peak,flux,mag,daofind_mag
93,2039.6367207867943,455.2605404121792,0.3189453886171669,-0.8235595899015171,-0.9881846144215777,25,152.19151904209758,2557.0919453350393,-8.519365860575938,-0.07217761075895816
94,1022.0936009049508,456.9259255733335,0.45318176962337803,-0.541627820830946,-0.1499413290707749,25,52.942624043686244,-263.10080055855934,nan,-0.10112115604905633
95,2738.0134120367184,474.61406137433386,0.37349569079831363,-0.2817076434926473,-0.5028704858862312,25,137.48510422110883,1834.242754028351,-8.158642030295585,-0.23246753390433655
96,2450.0941309847753,474.76219466494814,0.32206105710554006,-0.38292892065246137,-0.959293146593514,25,127.92026508594101,1869.2158433568945,-8.179148633552039,-0.13284665086625563
97,2455.2791164114524,475.41720236028215,0.3101583055678679,0.8300793149199167,-0.3672458318487497,25,108.89582691779884,1567.3914152272769,-7.987943659401131,-0.028847175841071777
98,2329.2074801734743,480.51729027850905,0.4150103412325206,0.482031524044087,-0.3909000018366819,25,139.94307823587994,1548.7142575804385,-7.974928241293703,-0.32383501880925586
99,218.82139641660112,487.7454500658925,0.4041770137466951,0.1003337032049203,-0.2009526126003795,25,163.72328270800057,2629.6253832684,-8.549734708137404,-0.05429627331499043
100,2462.078450645502,492.77735937248616,0.37429656023448593,0.6755854601596396,0.34883542082487506,25,74.54008511561327,601.3215633831068,-6.9477669447974355,-0.016122747472511623
101,3604.3485221517935,502.963362089877,0.3403780823184992,-0.7856646668120567,0.06780426337931607,25,52.800996946713674,189.1772758242693,-5.692172418208326,-0.021652810517676074
102,1744.069960185139,505.12305599755314,0.42464052831571125,-0.30799370832209155,-0.854920712020947,25,133.92887545442647,1259.5097210509325,-7.750503809463229,-0.37594756147321784
103,3657.2976191188613,507.76545735022535,0.3978056513374931,0.19932748743652867,-0.8307062471136575,25,140.6134352707966,1823.6913503594183,-8.152378345701553,-0.1850382223980039
104,148.84976868674187,509.53867357198004,0.3204670541820671,0.06567661546487706,0.42735149119219557,25,162.15365531744587,2725.9572663889676,-8.588797608279897,-0.13279134223779243
105,3395.6302689982926,513.1997195595624,0.48409603638206233,-0.18930010382106188,-0.7532194717647658,25,157.984529413109,2196.055535120312,-8.354108296516332,-0.08430987120203692
106,853.8093069452882,513.4197246728341,0.34479967852114934,-0.46670148052058796,-0.7241276602769006,25,160.6418584075833,2739.575275566755,-8.594208095212204,-0.004883438086436318
107,2211.5940517697472,514.8075786638451,0.40789346430583506,-0.10090413851854248,-0.8114033585799276,25,152.66503285522725,2146.80838520429,-8.329483207315445,-0.1312154127020992
108,2209.008744161508,514.567111693085,0.42297980878657626,0.09927009798311531,-0.7067622632343531,25,156.43518286812602,2050.138724192646,-8.279458122289377,-0.2561326648510893
109,1685.9676561957333,518.9639642840696,0.4036460128626428,-0.7575157042809639,-0.6071153809878479,25,153.48958369079145,2358.0868617031165,-8.431399496451915,-0.1060218569893736
110,1692.0472626378817,519.4306718662558,0.3863036646792488,-0.3362757853603558,-0.714507913930732,25,150.02245519292111,2268.9293053347724,-8.389552411174096,-0.13606579747895275
111,2222.6161193094767,519.9675532557237,0.44921133272343117,-0.31603999510833425,-0.12955986620577384,25,134.93479210430763,1479.716060457535,-7.925445968881144,-0.20823237032632116
112,1632.448885869583,534.0978023173362,0.32338170368174796,-0.8508570046312789,-0.31989994266528876,25,152.29062092052158,2567.5110966007364,-8.52378082315825,-0.16223574498656354
113,1340.9074248327101,539.6641959912314,0.362061486579154,-0.4836858574099702,-0.5267393632144335,25,153.92645949559613,2427.6640063287373,-8.462971448291055,-0.05945833050411437
114,409.87210569027155,553.6106262796412,0.3426531911165668,-0.572368788852002,-0.46601415900018667,25,132.71359413101317,1927.4945695895233,-8.212482907922109,-0.14816822573162322
115,1614.3511161828283,552.5973344233826,0.3296933704691516,0.1181203370660364,-0.866324765309142,25,142.05250554127227,2193.2363396120036,-8.352713582680966,-0.08937831403741014
116,1593.125539069052,554.2501999563424,0.44492251065263405,0.5432168323715871,-0.34178222330652275,25,130.4116679953002,1629.5190218418595,-8.030148586186304,-0.007985075471751518
117,1948.9498069998995,558.5212665610271,0.5231148610166383,-0.09133493399993681,-0.9603748113275482,25,158.15972793591789,2081.766095224886,-8.296079827754001,-0.09913868517893444
118,2406.56488590465,558.8647882633437,0.3834358044724429,-0.3803402028817836,-0.6581201485834707,25,122.95090135996905,1552.4640654998946,-7.977553891146149,-0.09938711253299282
119,933.1578822975129,581.5731010208406,0.5239716914970035,-0.4391563035075955,-0.9340592059693285,25,142.23800934330455,1688.8194346547505,-8.068958045293574,-0.047172479418867694
120,2989.134101860003,585.4798525561114,0.25604074190162,0.9238188547832824,-0.07377745494052496,25,143.5735036721586,2363.4400143976754,-8.433861460275477,-0.23964274161161228
121,334.9484878431174,588.0955565470788,0.3619434888949532,-0.6456472742413031,-0.387416483169891,25,121.1708973532805,1729.4231389490149,-8.094753163386692,-0.04313848637760179
122,1394.0168112747303,588.7141760963838,0.4028992689763255,-0.7160448577385659,-0.893331770737858,25,144.6858713543069,2001.4105309838933,-8.25334045154314,-0.25945842964547017
123,3526.940541394371,592.3514425103797,0.4929856291170299,0.6022476263119907,-0.4928679568422823,25,132.6877686188526,1543.2514935637382,-7.971091764877353,-0.10142927106364269
124,960.8705018888253,601.1929522761943,0.3707430465554112,0.04525001675297107,-0.8144924116127391,25,143.38634503796914,2141.2589901628635,-8.326672998451052,-0.08679243463631525
125,3657.355587209779,605.5727545649847,0.21181861417453252,0.6676669417223006,-0.13923413070397483,25,151.6341626796126,2788.584221645823,-8.613459414290286,-0.14937060164948332
126,3683.1454065713215,611.4288276167101,0.2518713960404127,0.7279049679074991,-0.345510534918621,25,147.0633137719487,2598.8885208393312,-8.536969127164722,-0.13182927273350026
127,2978.7454727552513,613.339784302011,0.30209554414250933,0.5793004479541946,-0.19595047575815297,25,139.3866236403523,2299.0203289070096,-8.40385702875291,-0.07447560332111601
128,1637.980736637226,615.6814433840989,0.28375743366827566,-0.8490599069381565,-0.3213670896713698,25,151.54710870123282,2433.938077103893,-8.465773812391058,-0.31731412938273373
129,1545.0593257304718,626.5427561582359,0.497115867585903,-0.010870507474933377,-0.28969086764962126,25,66.85077558954912,15.730354528319715,-2.9918462769901693,-0.008989025961678002
130,3505.150066208712,626.8287127780551,0.4742337977361998,-0.4069485289181518,-0.7567351529915698,25,123.50685983010385,1366.047015717922,-7.838664117169557,-0.094386450723563
131,725.0887770378721,631.7176107994738,0.6316644836815858,-0.49316144368362436,-0.8596524263354808,25,125.81823612485083,1078.5202444832985,-7.582070753718961,-0.006512471439728931
132,865.3766662766332,636.8105843990704,0.43834592694504326,-0.6737854680838308,-0.20303378086675394,25,160.1052293749345,2438.937194947941,-8.468001542360042,-0.055194086553503434
133,869.0384865177646,636.5707996013842,0.30213294506131466,-0.39223468237268183,-0.8276789562126035,25,155.15326342604658,2581.1210294183015,-8.529520922998731,-0.16544671266551178
134,193.66129336881414,639.2720115485077,0.29969178255674134,-0.09860188354981031,0.14931805358212444,25,161.86426018736864,2668.586343075722,-8.565703147804697,-0.26372461397469804
135,1405.6825364038395,644.7730252854833,0.3449023688866727,-0.870570804924721,-0.9095407720758156,25,155.0748850179087,2304.6525384920196,-8.406513645365902,-0.3151836153124983
136,592.838859500494,650.3082336439987,0.29161200989367364,-0.1792776446816451,-0.3989448286891538,25,107.71612105847213,1662.72157586152,-8.052048830820413,-0.00418227819554687
137,2314.3213290063923,660.1041708368919,0.3164248209991627,-0.2080320646707842,-0.5516658988959134,25,155.5234381624579,2604.5702662763983,-8.53934019588317,-0.15692313452407125
138,3464.512444994608,666.9423899543411,0.26788762602437516,-0.8097495124771573,-0.9010221495951107,25,52.70188083042984,460.5391168521567,-6.6581663095219366,-0.04119088866668441
139,3241.5175931429367,671.9330000782677,0.5477844272874961,0.6832281363489364,-0.45902684926722487,25,151.1002500722403,1751.40327702771,-8.108465394937824,-0.12837746622950394
140,984.9322392758824,672.3197116179241,0.2991290554576617,-0.9149775687175222,-0.3165982441681107,25,75.78728094303162,863.2997197690637,-7.34040399984314,-0.06854959970592393
141,1832.0148649612968,673.6082189330604,0.3024583495292368,0.0945685148476787,-0.4225339785656582,25,151.4967764865795,2608.29241020542,-8.540890694087578,-0.020632891403206316
142,2057.5509260778117,673.7026917872574,0.3037209275293504,0.41040216264855645,-0.5377250427500095,25,152.00514766508394,2280.0227453103935,-8.39484794876596,-0.315120688046313
143,1986.5756965475682,674.9558773422979,0.3450697093238136,-0.6259782094453926,-0.27577386301379303,25,138.27169682343055,1915.7855773748213,-8.205867248581201,-0.19390742847448014
144,3505.7890082423733,675.1096571147746,0.5717990762941654,0.569953082934968,-0.5554539135296608,25,163.3080468280422,2051.6584542261166,-8.280262660360142,-0.060520679287803414
145,2245.271596104614,698.6139328143063,0.48467081861494443,-0.3281129823384451,-0.41179851065431694,25,125.43069383196253,1393.5453698776323,-7.860302781684566,-0.03269801163601158
146,1241.3378759279342,699.3496936558939,0.37445869462907705,-0.09192090792684907,-0.1671931190517749,25,148.68816038592385,1965.5472526290964,-8.233708722284694,-0.28061654032708283
147,3985.1781576879885,701.5340709258996,0.3566686434377662,0.08732667419707438,-0.3499559824972625,25,165.68374272065827,2670.8944697773672,-8.566641822169892,-0.14477844782642071
148,1511.1421249022058,706.3500450241224,0.3570322899459815,-0.5334403134375663,-0.8057615313571194,25,155.78062265758692,2497.2591315045684,-8.493659024624282,-0.05484440315824019
149,645.9644883325648,708.7604134362857,0.5764521053193812,0.4043627488619502,0.15417878282580716,25,55.77024056081015,-487.4549180535331,nan,-0.012290491987104545
150,1108.8989306583783,711.5750892723913,0.41727011787440094,-0.4639436693165849,-0.6866051501451199,25,154.5898101724447,2272.518283527066,-8.391268465051812,-0.1804189899122305
151,866.0475181909717,722.3939289143755,0.36336532737425814,-0.7794618397579702,-0.3558298488338335,25,82.20922205849041,648.0204899875572,-7.028971845493781,-0.1613850574391659
152,944.4374743275645,729.5857254676063,0.2530631118573632,-0.574684112131956,-0.48692450460277165,25,117.15471606027688,1977.9781143060102,-8.240553704896183,-0.031393202406860665
153,2166.774007942075,731.5608771852884,0.2890598801826697,-0.1470693328946796,-0.6698235000937437,25,117.33697607163413,1800.6134676851043,-8.138551235313548,-0.04535230507602378
